%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 50
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute attrib_11 numeric
@attribute attrib_12 numeric
@attribute attrib_13 numeric
@attribute attrib_14 numeric
@attribute attrib_15 numeric
@attribute attrib_16 numeric
@attribute attrib_17 numeric
@attribute attrib_18 numeric
@attribute attrib_19 numeric
@attribute attrib_20 numeric
@attribute attrib_21 numeric
@attribute attrib_22 numeric
@attribute attrib_23 numeric
@attribute attrib_24 numeric
@attribute attrib_25 numeric
@attribute attrib_26 numeric
@attribute attrib_27 numeric
@attribute attrib_28 numeric
@attribute attrib_29 numeric
@attribute attrib_30 numeric
@attribute attrib_31 numeric
@attribute attrib_32 numeric
@attribute attrib_33 numeric
@attribute attrib_34 numeric
@attribute attrib_35 numeric
@attribute attrib_36 numeric
@attribute attrib_37 numeric
@attribute attrib_38 numeric
@attribute attrib_39 numeric
@attribute attrib_40 numeric
@attribute attrib_41 numeric
@attribute attrib_42 numeric
@attribute attrib_43 numeric
@attribute attrib_44 numeric
@attribute attrib_45 numeric
@attribute attrib_46 numeric
@attribute attrib_47 numeric
@attribute attrib_48 numeric
@attribute attrib_49 numeric
@attribute attrib_50 numeric
@attribute class {0, 1}
@data
551.5315,-726.48193,-194.79749,-296.10095,370.8623,911.1659,-329.3236,844.9072,439.9712,234.80493,-151.87378,372.979,-979.1359,-689.2988,-954.9403,-345.6831,48.85254,733.3544,349.33167,535.26917,871.18774,-541.9823,267.58276,-843.118,-594.61255,120.12622,378.47205,194.87024,-966.2723,-773.0487,-534.97754,-65.2677,-838.31055,-203.75385,882.97546,-687.55566,41.988403,-231.39209,877.1304,-665.63293,202.13623,834.7258,575.2224,-864.29456,-387.68402,-804.3535,-531.0309,-654.9403,-408.3246,213.63525,0
-665.5043,393.31604,-625.02014,913.1671,749.4271,938.3219,-752.1165,-143.96399,-368.48828,-327.50226,-792.0854,-958.481,553.7212,438.73987,219.594,-828.0083,983.34814,-199.3294,305.93567,-123.6604,47.70166,-3.5045166,-45.095093,297.96423,946.57935,551.4336,618.24146,831.1378,-288.22858,731.88367,441.37756,-271.089,656.4324,495.1986,787.0138,807.73303,562.2318,-377.85986,-398.75836,538.3954,-580.22424,-685.21094,-780.07056,439.86438,-632.13245,-299.109,824.4175,-117.978516,-630.2457,406.3186,0
-570.6041,-844.71985,-880.4155,-359.46307,22.167236,979.50696,-310.11877,85.658936,-728.67773,501.62134,510.90967,-712.11615,84.18921,-729.2937,415.4015,220.81201,216.2395,-318.58704,687.17017,223.33447,-878.0329,940.89636,319.73743,-389.50214,-714.41833,-258.52783,21.159668,913.9501,-618.81335,510.6372,-106.16937,-70.72931,785.94116,-637.95026,173.10767,530.69934,206.0315,685.5206,926.19104,559.4752,-525.89136,-308.98547,-807.23724,0.20135498,938.1721,161.11987,691.4678,-869.64264,-714.28613,168.39429,1
-78.59741,-638.7197,133.25964,-421.5506,-744.6493,-915.3597,260.27576,-213.41376,451.58276,996.6416,-22.26355,325.25354,903.6206,92.87842,795.4763,731.54785,-97.561646,809.9829,-711.2226,-621.5707,-796.8452,-364.09723,863.47253,-149.71722,-731.6516,-81.14923,980.1727,-117.09802,-297.2959,575.6692,322.05396,-110.06714,-401.22107,-66.44092,376.9668,-337.73822,781.25354,34.82312,953.464,953.78845,267.11304,-607.5222,-738.3372,356.4768,-348.22247,-594.70856,-636.3066,-880.46924,586.28503,-575.99274,1
-965.19135,381.99268,-971.7969,-193.78314,375.06042,-334.98138,529.0266,-794.45105,872.7749,-590.4662,463.39478,-188.45618,-955.11066,846.93054,810.542,289.78625,-734.46295,554.9154,865.97107,767.57153,-56.899536,677.5763,-908.5799,-631.41315,-182.72424,978.18225,-796.2328,-479.2152,821.52344,-354.80945,-441.3994,-455.15955,692.6067,86.38464,901.756,876.27527,307.74683,823.0194,-357.79742,682.5427,-408.74683,-964.6951,-57.761658,607.0675,-243.68402,-687.48645,126.03052,-94.56091,633.9728,-274.5548,1
-824.8818,334.65833,-109.90662,-534.0585,-590.42957,-185.45892,42.552734,-12.407227,-153.92834,101.087524,-635.40967,833.73267,-820.7143,494.82642,-3.3167114,153.27087,-149.57556,952.84717,888.0868,281.86536,-752.97034,-118.56299,550.5259,705.39087,720.55066,356.9441,-969.6509,224.61108,-186.61731,-444.3144,-8.216309,-795.58276,-145.39655,-230.56927,352.75854,-582.05225,-86.269775,-458.81464,526.09143,-814.64307,994.3917,176.71106,992.6638,-741.046,-695.1085,170.41382,669.53406,220.88696,460.21497,-70.05994,1
-665.2298,-963.5019,-449.8871,-407.97668,232.10864,845.9325,-849.53143,-307.17596,-97.62378,78.532715,560.23865,-10.78833,274.93958,539.0067,813.83154,-176.86084,-898.7278,-758.69116,-651.131,79.46472,924.06335,-544.37317,-398.1494,8.276672,-50.88739,685.8214,259.32288,-34.016724,423.59155,-890.88275,409.73157,-524.8706,-576.92645,-613.20154,421.2119,911.1074,-688.9332,-305.88696,13.152344,594.63184,558.61035,319.54688,694.44385,-897.95,97.82349,248.07605,-491.0933,-798.7344,-67.87512,-230.03296,0
858.4623,979.2527,-662.8336,346.1366,-932.80347,-552.1561,-339.6427,-286.9505,304.542,197.67615,-536.8221,524.57214,503.37964,-484.11444,-450.6861,705.1644,-11.055847,791.33777,282.96924,-871.7632,-323.01086,-998.1059,-474.4568,-764.5413,-95.24756,-388.59216,505.18555,-222.74658,-774.16394,-700.1489,982.5735,-18.329102,830.19507,-391.8203,187.57849,148.28027,643.0067,800.2388,175.32397,-84.32123,-388.7293,27.222778,-513.5414,-734.3334,-795.4316,-774.09753,-704.69824,-295.9101,-263.5124,90.03345,0
-409.15875,997.8071,-244.20361,-74.93164,-640.6018,349.18884,-538.46967,-770.50494,224.09497,-45.98993,-136.26776,-558.17554,-454.90472,-484.44623,241.66443,-549.5393,595.9103,477.18994,-656.1108,184.38184,104.89661,487.65405,729.6942,-114.23016,-812.6045,-72.30176,-331.08514,511.42578,492.7942,-796.258,97.284424,118.01245,252.11719,-46.395508,-732.97565,-943.1295,835.5836,-688.64923,937.4579,-662.64746,-584.10596,-57.26056,-781.98315,613.32996,-618.15955,-310.28845,506.08325,905.72363,-741.8414,-648.1861,0
354.68738,-605.3835,-938.6289,-615.59766,-439.83563,397.70923,257.69934,107.925415,-722.5539,-2.4196167,787.948,-600.46,550.744,-311.58014,985.5945,777.7645,-710.04034,883.60315,-361.8543,-707.1706,-571.7665,158.68018,-71.84943,699.83435,763.62366,-299.94427,539.0858,-981.21893,-182.01709,587.8375,-177.34058,774.995,-61.318176,262.03674,597.9076,965.4109,823.902,-195.49426,-111.21625,110.645386,-330.19696,-485.3004,-294.227,-370.26715,217.94568,665.55554,-161.61395,213.85657,123.928345,-703.5164,0
-450.778,877.359,-726.7234,433.6648,46.61194,928.766,-61.798645,223.56177,-338.3128,-768.48193,-1.0831299,-876.2595,767.04114,813.5482,845.7947,-484.18427,-352.01617,136.80554,33.70056,-111.474365,-226.28241,-847.7276,-722.55676,-915.3478,-785.41534,642.9774,957.3423,13.703003,312.87378,-703.03876,946.49866,702.97253,138.49402,454.10144,276.4308,-407.19116,-252.84277,-464.83862,925.317,-422.3921,807.5332,-211.6247,-156.83685,-547.73206,-224.82294,178.33936,220.79175,144.5332,464.84875,993.9287,0
